OddEvenSort109,75,72,97,93,90,73,76,81,73,70,74,76,77,76,73,78,80,86,79,73,74,70,72,92,69,81,74,80,77,70,70,77,70,79,85,76,77,77,89,81,69,89,75,76,81,80,90,89,73,82,71,69,82,85,84,101,90,68,84,71,91,80,77,89,82,69,70,85,71,79,71,84,86,87,79,71,77,88,88,86,94,80,81,82,89,77,71,72,82,72,73,75,72,70,76,76,77,72,75,
ShakerSort105,87,111,91,87,84,87,88,85,101,91,85,95,86,90,86,105,108,107,103,124,109,108,106,107,101,104,106,107,110,106,110,98,103,103,104,106,106,102,105,129,108,117,120,127,108,103,105,132,112,99,112,118,114,118,121,126,100,104,116,144,106,110,126,125,111,107,102,102,122,109,107,111,112,109,103,111,101,108,134,103,111,119,104,103,106,111,110,107,104,134,111,108,103,106,105,113,104,119,108,
CombSort4,2,2,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,
BubbleSort136,129,116,167,135,134,137,127,131,128,143,124,120,121,118,135,115,117,142,143,114,120,122,118,131,119,132,117,115,134,146,123,114,120,133,115,113,120,128,144,118,120,124,140,113,123,126,111,127,117,134,125,128,147,123,132,116,139,119,123,129,131,129,122,130,121,118,120,122,124,120,133,141,131,128,119,139,123,130,127,130,116,135,121,126,121,148,140,118,127,134,124,110,117,135,116,128,115,121,140,
